round,totalCost,roundCost
346,340289058.76500034,1199978.1949999928
347,341585347.7500003,1296288.9849999547
348,342944681.9250003,1359334.175000012
349,344118531.2100003,1173849.2849999666
350,345397432.6500003,1278901.4399999976
351,346924031.35000026,1526598.699999988
352,348726595.80500025,1802564.4549999833
353,350981509.28000027,2254913.475000024
354,353055217.3950002,2073708.11499995
355,354011435.18500024,956217.7900000215
356,355680510.56000024,1669075.375
357,357227768.0500002,1547257.48999995
358,358526291.2450002,1298523.1949999928
359,359710279.1200002,1183987.875
360,360231838.0450002,521558.9250000119
361,361401554.0400002,1169715.9950000048
362,362650535.06500024,1248981.0250000358
363,362942777.35500026,292242.29000002146
364,364267939.9000002,1325162.544999957
365,365428320.5550002,1160380.6549999714
366,366467908.7850002,1039588.2300000191
367,367295163.99500024,827255.2100000381
368,368484573.7650002,1189409.769999981
369,369140834.1600002,656260.3949999809
370,369775334.9650002,634500.8050000072
371,371014867.9100002,1239532.9449999928
372,372202828.4600002,1187960.550000012
373,373595383.31500024,1392554.855000019
374,375193180.79000026,1597797.4750000238
375,377073646.6250003,1880465.8350000381
376,378357541.5550003,1283894.9300000072
377,380690626.4650003,2333084.9099999666
378,382546349.9650003,1855723.5
379,383396455.75000024,850105.7849999666
380,385153300.80000025,1756845.050000012
381,386626542.36000025,1473241.5600000024
382,388025000.3300003,1398457.9700000286
383,389334890.2000003,1309889.8700000048
384,389782967.9500003,448077.75
385,390695479.2500003,912511.3000000119
386,391309540.39000034,614061.1400000453
387,391609471.5400004,299931.15000003576
388,392359090.0800004,749618.5400000215
389,393447248.8000004,1088158.7200000286
390,394056386.38500047,609137.5850000381
391,394817074.8150005,760688.4300000072
392,396039949.73000044,1222874.9149999619
393,396597764.8800005,557815.1500000358
394,397181461.26500046,583696.3849999905
395,397864492.3650005,683031.1000000238
396,398259149.00500053,394656.6400000453
397,399350185.86000055,1091036.855000019
398,400381746.93000054,1031561.0699999928
399,402188883.53500056,1807136.605000019
400,402802614.59000057,613731.0550000072
401,404310607.8200005,1507993.2299999595
402,405707216.7750005,1396608.9549999833
403,406538241.6500005,831024.875
404,407625403.2300005,1087161.5799999833
405,408891556.45500046,1266153.2249999642
406,409762738.02000046,871181.5649999976
407,410823360.2250005,1060622.205000043
408,411022031.12500054,198670.90000003576
409,411516929.93500054,494898.8100000024
410,411900059.03000057,383129.0950000286
411,412225700.59500057,325641.5649999976
412,413038020.29000056,812319.6949999928
413,413671597.37000054,633577.0799999833
414,413897900.53500056,226303.16500002146
415,414804079.2450006,906178.7100000381
416,415714471.6650006,910392.4200000167
417,416085315.0350006,370843.37000000477
418,416441098.27500063,355783.24000000954
419,417680585.0000006,1239486.7249999642
420,417956424.0300006,275839.030000031
421,418364318.8700006,407894.8399999738
422,418911083.7400006,546764.8700000048
423,419535336.0150006,624252.2749999762
424,419926679.0050006,391342.99000000954
425,420701524.89000064,774845.8850000501
426,421587963.61000067,886438.7200000286
427,422423362.45000064,835398.8399999738
428,423358216.77500063,934854.3249999881
429,424213281.18500066,855064.4100000262
430,424928866.6650007,715585.4800000191
431,425109212.0450007,180345.37999999523
432,425872006.5250007,762794.4800000191
433,426903654.44500065,1031647.9199999571
434,427430821.37500066,527166.9300000072
435,427653961.64000064,223140.2649999857
436,428508021.86500067,854060.2250000238
437,429303605.49500066,795583.6299999952
438,430043315.9050007,739710.4100000262
439,430717718.42500067,674402.5199999809
440,432125380.8250007,1407662.4000000358
441,432643830.62500066,518449.7999999523
442,433290941.6600007,647111.0350000262
443,434165134.80000067,874193.1399999857
444,434449555.7450007,284420.94500005245
445,435289964.51000077,840408.7650000453
446,436316553.65000075,1026589.1399999857
447,437706902.2600007,1390348.6099999547
448,438202986.1850007,496083.9250000119
449,439859631.5600007,1656645.375
450,441513462.60500073,1653831.0450000167
451,442664153.96500075,1150691.3600000143
452,443504103.58500075,839949.6200000048
453,445017083.02000076,1512979.4350000024
454,446055916.10500073,1038833.0849999785
455,447448369.29500073,1392453.1899999976
456,448146360.01500076,697990.7200000286
457,448937757.2500008,791397.2350000143
458,449956565.89000076,1018808.6399999857
459,450201181.71500075,244615.82499998808
460,451135994.83500075,934813.1200000048
461,451936028.16000074,800033.3249999881
462,452674074.04000074,738045.8799999952
463,453142506.4300007,468432.3899999857
464,453921953.2400007,779446.8100000024
465,454559681.2400007,637728.0
466,455016732.1800007,457050.9399999976
467,455915653.9500007,898921.7699999809
468,456626528.7650007,710874.8149999976
469,457838540.0450007,1212011.2799999714
470,459258079.5300007,1419539.4850000143
471,460461894.9200007,1203815.3899999857
472,461622090.42500067,1160195.5049999952
473,462771518.5450007,1149428.1200000048
474,464408193.2650007,1636674.7200000286
475,465079523.3250007,671330.0600000024
476,467025318.06500065,1945794.73999995
477,468401424.42500067,1376106.3600000143
478,469485514.56500065,1084090.1399999857
479,470561422.5300006,1075907.9649999738
480,471108415.43500066,546992.905000031
481,471705273.5900006,596858.1549999714
482,472338120.9050006,632847.3149999976
483,472635743.7350006,297622.8299999833
484,473732978.3500006,1097234.6150000095
485,475047468.05500066,1314489.705000043
486,475588136.5150007,540668.4600000381
487,476955067.8700007,1366931.355000019
488,478100547.3450007,1145479.4749999642
489,478463219.5850007,362672.24000000954
490,479015949.57000065,552729.9849999547
491,480205519.94500065,1189570.375
492,480754461.01000065,548941.0649999976
493,481673369.80000067,918908.7900000215
494,482320400.3450007,647030.5450000167
495,483517086.0450007,1196685.699999988
496,484495125.9550007,978039.9100000262
497,486096032.3150007,1600906.3600000143
498,487198661.28500074,1102628.9700000286
499,487835000.3600007,636339.0749999881
500,489087570.35000074,1252569.9900000095
501,490694205.97000074,1606635.6200000048
502,491851136.27000076,1156930.300000012
503,492746601.9400008,895465.6700000167
504,493308862.52000076,562260.5799999833
505,493964152.57500076,655290.0550000072
506,494931799.16500074,967646.5899999738
507,495022246.0500008,90446.88500005007
508,495826518.5350008,804272.4850000143
509,497186241.05500084,1359722.5200000405
510,498014183.72500086,827942.6700000167
511,498735968.9600009,721785.2350000143
512,499993640.8900009,1257671.9300000072
513,500409015.6250009,415374.7350000143
514,501328811.5500009,919795.9250000119
515,502933532.12000096,1604720.5700000525
516,504509700.36000097,1576168.2400000095
517,505885340.645001,1375640.2850000262
518,507053888.970001,1168548.324999988
519,508465114.640001,1411225.6700000167
520,510125771.020001,1660656.3799999952
521,511922223.595001,1796452.574999988
522,513862884.030001,1940660.4350000024
523,514720833.960001,857949.9300000072
524,516409680.480001,1688846.519999981
525,518086729.780001,1677049.300000012
526,519454633.830001,1367904.050000012
527,520483532.34500104,1028898.5150000453
528,521379659.27000105,896126.9250000119
529,522170633.3150011,790974.0450000167
530,523476222.35500103,1305589.0399999619
531,523741450.15000105,265227.7950000167
532,524914073.46000105,1172623.3100000024
533,526175395.375001,1261321.9149999619
534,527074675.315001,899279.9399999976
535,527971343.035001,896667.719999969
536,529230019.36000097,1258676.324999988
537,529649243.92500097,419224.5649999976
538,530197161.580001,547917.655000031
539,531529863.665001,1332702.0849999785
540,532394747.775001,864884.1100000143
541,533979528.020001,1584780.2450000048
542,535508558.215001,1529030.1949999928
543,537376515.5300009,1867957.314999938
544,538464845.485001,1088329.955000043
545,540412652.9200009,1947807.4349999428
546,542288751.345001,1876098.4250000715
547,543264716.655001,975965.310000062
548,545000706.685001,1735990.0299999714
549,546759477.1050011,1758770.4200000763
550,548114887.5550011,1355410.4500000477
551,549553516.2850012,1438628.730000019
552,550016934.4750012,463418.1900000572
553,551113871.6300013,1096937.1550000906
554,551961649.8000013,847778.1699999571
555,552229846.3200012,268196.5199999809
556,553100125.0150013,870278.6950000525
557,554049354.2750013,949229.2599999905
558,554724075.8350012,674721.5599999428
559,555319514.0400013,595438.2050000429
560,556512935.4500012,1193421.4099999666
561,557091782.2800013,578846.8300000429
562,557555018.6250013,463236.3450000286
563,558384628.8900013,829610.2649999857
564,558716582.7100013,331953.82000005245
565,559635668.3450013,919085.6349999905
566,560567201.3000013,931532.9549999237
567,562621988.4600012,2054787.1599999666
568,563165722.4050012,543733.9449999332
569,564913302.3400011,1747579.9349999428
570,566598512.200001,1685209.859999895
571,567383178.735001,784666.5349999666
572,568558884.5200009,1175705.7849999666
573,570155883.3050009,1596998.7849999666
574,571282262.8950008,1126379.5899999142
575,572652562.8950008,1370300.0
576,572990982.4450008,338419.5499999523
577,573641557.3750008,650574.9300000668
578,574229912.1850008,588354.8099999428
579,574560157.7250009,330245.54000008106
580,575600040.4350009,1039882.7100000381
581,576192010.8350009,591970.3999999762
582,576419822.0750009,227811.24000000954
583,577524285.6300008,1104463.5549999475
584,578241269.5600008,716983.9299999475
585,578860905.4300008,619635.8700000048
586,579049659.1350007,188753.7049999237
587,580407882.8600007,1358223.7250000238
588,580742076.9700006,334194.1099998951
589,581319511.3500006,577434.3799999952
590,581840018.4300007,520507.0800000429
591,582476345.4850006,636327.0549999475
592,582862302.4050007,385956.9200000763
593,583456395.4000007,594092.9950000048
594,584333184.2800007,876788.8799999952
595,585239755.4100007,906571.1299999952
596,586360858.8900007,1121103.480000019
597,587309078.0300007,948219.1399999857
598,588283225.7500007,974147.7200000286
599,588453589.1350007,170363.38499999046
600,589139445.5350007,685856.3999999762
601,590114011.9950006,974566.4599999189
602,591072826.1400006,958814.1449999809
603,591370580.0300007,297753.8900001049
604,592186642.6950008,816062.6650000811
605,592915881.1350008,729238.4400000572
606,593634074.0700008,718192.9349999428
607,594244187.0650008,610112.9950000048
608,595247104.1050009,1002917.0400000811
609,595621584.5150009,374480.41000008583
610,596315179.490001,693594.9750000238
611,597084767.220001,769587.7300000191
612,597389289.0400009,304521.81999993324
613,598407574.5700009,1018285.5299999714
614,599493477.5600009,1085902.9900000095
615,601030953.375001,1537475.8150000572
616,601756941.275001,725987.9000000954
617,604130418.195001,2373476.919999957
618,605913162.245001,1782744.0499999523
619,607019943.660001,1106781.415000081
620,608090443.5800011,1070499.9200000763
621,609481031.9000012,1390588.3200000525
622,610448338.8900012,967306.9900000095
623,611548998.3600011,1100659.4699999094
624,611967500.1200011,418501.75999999046
625,612585258.7350011,617758.6150000095
626,613349091.7350011,763833.0
627,613764064.0350012,414972.3000000715
628,614616052.2450011,851988.2099999189
629,615179625.1350011,563572.8899999857
630,615995665.215001,816040.0799999237
631,616611497.700001,615832.4850000143
632,617710703.230001,1099205.5299999714
633,618171245.960001,460542.7300000191
634,618519647.720001,348401.75999999046
635,619740086.835001,1220439.1150000095
636,620596164.180001,856077.3450000286
637,622093654.3700011,1497490.1900000572
638,623354319.7550011,1260665.3849999905
639,624859303.185001,1504983.4299999475
640,625599470.680001,740167.4950000048
641,626844797.6200011,1245326.9400000572
642,628026377.060001,1181579.439999938
643,628588721.055001,562343.9950000048
644,630237129.405001,1648408.3500000238
645,631307033.5750011,1069904.1700000763
646,632563538.2950011,1256504.7200000286
647,633594616.5050012,1031078.2100000381
648,634279285.0550011,684668.5499999523
649,634896269.6300011,616984.5749999285
650,635513911.2400011,617641.6100000143
651,635903095.3700011,389184.12999999523
652,636664180.2250011,761084.8550000191
653,638031550.0650011,1367369.8400000334
654,638327315.6350011,295765.56999993324
655,639723998.905001,1396683.269999981
656,640867354.365001,1143355.459999919
657,641400256.865001,532902.5
658,641988902.435001,588645.5700000525
659,643269801.160001,1280898.7250000238
660,643608298.285001,338497.125
661,644321711.175001,713412.8899999857
662,644938615.6150011,616904.4400000572
663,646327951.4900011,1389335.875
664,647291618.9300011,963667.4400000572
665,649386799.5800011,2095180.6499999762
666,650898132.7150011,1511333.1349999905
667,651910281.540001,1012148.8249999285
668,653038288.890001,1128007.3500000238
669,654496706.040001,1458417.1499999762
670,655913920.565001,1417214.5249999762
671,656501554.115001,587633.5499999523
672,657168324.585001,666770.4700000286
673,657879381.5150009,711056.9299999475
674,659248542.7750009,1369161.2599999905
675,659346199.4350009,97656.65999996662
676,660258546.5250009,912347.0900000334
677,661748599.4450009,1490052.919999957
678,662565549.5950009,816950.1499999762
679,663237777.4250009,672227.8300000429
680,664229661.5350009,991884.1100000143
681,664743858.8650008,514197.3299999237
682,665854570.0150008,1110711.1499999762
683,667123390.5600008,1268820.544999957
684,668406429.2400008,1283038.6800000668
685,669687243.7900008,1280814.5499999523
686,671105043.7000009,1417799.9100000858
687,672668520.2550008,1563476.5549999475
688,674649505.7150009,1980985.4600000381
689,676255882.0050008,1606376.2899999619
690,677735061.2800008,1479179.2749999762
691,678768337.1200007,1033275.8399999142
692,680405290.2750008,1636953.1550000906
693,682192796.4600008,1787506.1849999428
694,683829509.3400007,1636712.8799999952
695,684815181.0500008,985671.7100000381
696,685755570.7300007,940389.6799999475
697,686769553.1900008,1013982.4600000381
698,687815726.7600008,1046173.5700000525
699,688058614.8600008,242888.10000002384
700,689235577.7050009,1176962.8450000286
701,690592386.4250009,1356808.7200000286
702,691665035.5500009,1072649.125
703,692467355.7750009,802320.2250000238
704,693584689.840001,1117334.0650000572
705,694081264.670001,496574.8300000429
706,694866117.025001,784852.3550000191
707,696289802.075001,1423685.0499999523
708,697454635.830001,1164833.7549999952
709,698877457.965001,1422822.1349999905
710,700179373.100001,1301915.1349999905
711,701998585.1550009,1819212.0549999475
712,703249739.4400009,1251154.2849999666
713,705027754.5400009,1778015.1000000238
714,706842020.135001,1814265.5950000286
715,707948381.375001,1106361.2400000095
716,709319551.0900009,1371169.7149999142
717,710906386.8100009,1586835.7200000286
718,712403388.3850008,1497001.5749999285
719,713900256.1900009,1496867.8050000668
